facility_name,address,state_name,district_name,sub_district_name,pincode,facility_type,ownership,facility_id,latitude,longitude
Government Andhra East Hospital 2,"Main Road, Andhra East, Andhra Pradesh",Andhra Pradesh,Andhra East,Block B,682361,Sub District Hospital,Government,GEN-00017,27.522007,93.908219
Government Andhra East Hospital 3,"Main Road, Andhra East, Andhra Pradesh",Andhra Pradesh,Andhra East,Block B,794116,Community Health Centre,Government,GEN-00018,21.88643,79.029616
Government Andhra East Hospital 4,"Main Road, Andhra East, Andhra Pradesh",Andhra Pradesh,Andhra East,Block A,505879,Primary Health Centre,Government,GEN-00019,9.720426,91.199578
Government Andhra East Hospital 5,"Main Road, Andhra East, Andhra Pradesh",Andhra Pradesh,Andhra East,Block B,662307,Medical College Hospital,Government,GEN-00020,12.560912,93.7494
Government Andhra West Hospital 1,"Main Road, Andhra West, Andhra Pradesh",Andhra Pradesh,Andhra West,Block C,566413,District Hospital,Government,GEN-00021,28.716628,82.623541
Government Andhra West Hospital 2,"Main Road, Andhra West, Andhra Pradesh",Andhra Pradesh,Andhra West,Block B,590466,Sub District Hospital,Government,GEN-00022,29.534558,89.198647
Government Andhra West Hospital 3,"Main Road, Andhra West, Andhra Pradesh",Andhra Pradesh,Andhra West,Block A,395046,Community Health Centre,Government,GEN-00023,23.205958,82.075678
Government Andhra West Hospital 4,"Main Road, Andhra West, Andhra Pradesh",Andhra Pradesh,Andhra West,Block C,285632,Primary Health Centre,Government,GEN-00024,34.640865,93.018105
Government Andhra West Hospital 5,"Main Road, Andhra West, Andhra Pradesh",Andhra Pradesh,Andhra West,Block B,660980,Medical College Hospital,Government,GEN-00025,37.370195,71.013351
Government Arunachal Central Hospital 1,"Main Road, Arunachal Central, Arunachal Pradesh",Arunachal Pradesh,Arunachal Central,Block C,253828,District Hospital,Government,GEN-00026,8.334903,95.982289
Government Arunachal Central Hospital 2,"Main Road, Arunachal Central, Arunachal Pradesh",Arunachal Pradesh,Arunachal Central,Block A,286656,Sub District Hospital,Government,GEN-00027,29.379069,70.870453
Government Arunachal Central Hospital 3,"Main Road, Arunachal Central, Arunachal Pradesh",Arunachal Pradesh,Arunachal Central,Block B,321890,Community Health Centre,Government,GEN-00028,26.667811,83.845639
Government Arunachal Central Hospital 4,"Main Road, Arunachal Central, Arunachal Pradesh",Arunachal Pradesh,Arunachal Central,Block C,656174,Primary Health Centre,Government,GEN-00029,9.579791,70.324649
Government Arunachal Central Hospital 5,"Main Road, Arunachal Central, Arunachal Pradesh",Arunachal Pradesh,Arunachal Central,Block C,256625,Medical College Hospital,Government,GEN-00030,20.939424,94.506996
Government Arunachal North Hospital 1,"Main Road, Arunachal North, Arunachal Pradesh",Arunachal Pradesh,Arunachal North,Block B,418905,District Hospital,Government,GEN-00031,11.347939,91.222117
Government Arunachal North Hospital 2,"Main Road, Arunachal North, Arunachal Pradesh",Arunachal Pradesh,Arunachal North,Block A,401497,Sub District Hospital,Government,GEN-00032,35.453473,80.411916
Government Arunachal North Hospital 3,"Main Road, Arunachal North, Arunachal Pradesh",Arunachal Pradesh,Arunachal North,Block A,558994,Community Health Centre,Government,GEN-00033,8.568325,75.410162
Government Arunachal North Hospital 4,"Main Road, Arunachal North, Arunachal Pradesh",Arunachal Pradesh,Arunachal North,Block A,432100,Primary Health Centre,Government,GEN-00034,25.4064,71.063833
Government Arunachal North Hospital 5,"Main Road, Arunachal North, Arunachal Pradesh",Arunachal Pradesh,Arunachal North,Block C,120541,Medical College Hospital,Government,GEN-00035,20.873641,85.319793
Government Arunachal South Hospital 1,"Main Road, Arunachal South, Arunachal Pradesh",Arunachal Pradesh,Arunachal South,Block B,452589,District Hospital,Government,GEN-00036,14.732301,78.398582
Government Arunachal South Hospital 2,"Main Road, Arunachal South, Arunachal Pradesh",Arunachal Pradesh,Arunachal South,Block B,737587,Sub District Hospital,Government,GEN-00037,30.842685,78.651957
Government Arunachal South Hospital 3,"Main Road, Arunachal South, Arunachal Pradesh",Arunachal Pradesh,Arunachal South,Block C,218260,Community Health Centre,Government,GEN-00038,37.202694,81.343864
Government Arunachal South Hospital 4,"Main Road, Arunachal South, Arunachal Pradesh",Arunachal Pradesh,Arunachal South,Block C,852088,Primary Health Centre,Government,GEN-00039,11.254093,73.152812
Government Arunachal South Hospital 5,"Main Road, Arunachal South, Arunachal Pradesh",Arunachal Pradesh,Arunachal South,Block C,731707,Medical College Hospital,Government,GEN-00040,19.216782,96.680861
Government Arunachal East Hospital 1,"Main Road, Arunachal East, Arunachal Pradesh",Arunachal Pradesh,Arunachal East,Block A,467657,District Hospital,Government,GEN-00041,30.842823,89.412442
Government Arunachal East Hospital 2,"Main Road, Arunachal East, Arunachal Pradesh",Arunachal Pradesh,Arunachal East,Block A,805077,Sub District Hospital,Government,GEN-00042,35.075074,87.821662
Government Arunachal East Hospital 3,"Main Road, Arunachal East, Arunachal Pradesh",Arunachal Pradesh,Arunachal East,Block C,843137,Community Health Centre,Government,GEN-00043,29.721668,74.063554
Government Arunachal East Hospital 4,"Main Road, Arunachal East, Arunachal Pradesh",Arunachal Pradesh,Arunachal East,Block C,721124,Primary Health Centre,Government,GEN-00044,27.568421,82.131993
Government Arunachal East Hospital 5,"Main Road, Arunachal East, Arunachal Pradesh",Arunachal Pradesh,Arunachal East,Block C,784934,Medical College Hospital,Government,GEN-00045,18.987196,71.295757
Government Arunachal West Hospital 1,"Main Road, Arunachal West, Arunachal Pradesh",Arunachal Pradesh,Arunachal West,Block B,158209,District Hospital,Government,GEN-00046,17.817161,77.262218
Government Arunachal West Hospital 2,"Main Road, Arunachal West, Arunachal Pradesh",Arunachal Pradesh,Arunachal West,Block B,451974,Sub District Hospital,Government,GEN-00047,16.933386,71.841159
Government Arunachal West Hospital 3,"Main Road, Arunachal West, Arunachal Pradesh",Arunachal Pradesh,Arunachal West,Block B,472448,Community Health Centre,Government,GEN-00048,33.52973,90.41736
Government Arunachal West Hospital 4,"Main Road, Arunachal West, Arunachal Pradesh",Arunachal Pradesh,Arunachal West,Block A,720503,Primary Health Centre,Government,GEN-00049,31.552469,90.540924
Government Arunachal West Hospital 5,"Main Road, Arunachal West, Arunachal Pradesh",Arunachal Pradesh,Arunachal West,Block C,727818,Medical College Hospital,Government,GEN-00050,17.354728,81.490546
Government Assam Central Hospital 1,"Main Road, Assam Central, Assam",Assam,Assam Central,Block A,626628,District Hospital,Government,GEN-00051,27.546155,95.338803
Government Assam Central Hospital 2,"Main Road, Assam Central, Assam",Assam,Assam Central,Block A,432295,Sub District Hospital,Government,GEN-00052,37.099454,68.741336
Government Assam Central Hospital 3,"Main Road, Assam Central, Assam",Assam,Assam Central,Block A,477223,Community Health Centre,Government,GEN-00053,16.873357,84.145153
Government Assam Central Hospital 4,"Main Road, Assam Central, Assam",Assam,Assam Central,Block C,448405,Primary Health Centre,Government,GEN-00054,33.523999,71.978616
Government Assam Central Hospital 5,"Main Road, Assam Central, Assam",Assam,Assam Central,Block B,744071,Medical College Hospital,Government,GEN-00055,30.098516,87.795322
Government Assam North Hospital 1,"Main Road, Assam North, Assam",Assam,Assam North,Block B,175450,District Hospital,Government,GEN-00056,35.524543,91.079403
Government Assam North Hospital 2,"Main Road, Assam North, Assam",Assam,Assam North,Block A,371529,Sub District Hospital,Government,GEN-00057,12.138174,85.832789
Government Assam North Hospital 3,"Main Road, Assam North, Assam",Assam,Assam North,Block A,475880,Community Health Centre,Government,GEN-00058,19.110649,77.964261
Government Assam North Hospital 4,"Main Road, Assam North, Assam",Assam,Assam North,Block A,262368,Primary Health Centre,Government,GEN-00059,16.695424,85.879422
Government Assam North Hospital 5,"Main Road, Assam North, Assam",Assam,Assam North,Block A,370399,Medical College Hospital,Government,GEN-00060,12.360018,75.371816
Government Assam South Hospital 1,"Main Road, Assam South, Assam",Assam,Assam South,Block C,535941,District Hospital,Government,GEN-00061,35.133556,80.649494
Government Assam South Hospital 2,"Main Road, Assam South, Assam",Assam,Assam South,Block C,660742,Sub District Hospital,Government,GEN-00062,27.877176,68.588774
Government Assam South Hospital 3,"Main Road, Assam South, Assam",Assam,Assam South,Block C,159029,Community Health Centre,Government,GEN-00063,20.827825,91.557198
Government Assam South Hospital 4,"Main Road, Assam South, Assam",Assam,Assam South,Block B,202318,Primary Health Centre,Government,GEN-00064,19.504053,87.149536
Government Assam South Hospital 5,"Main Road, Assam South, Assam",Assam,Assam South,Block C,137518,Medical College Hospital,Government,GEN-00065,21.403502,71.404551
Government Assam East Hospital 1,"Main Road, Assam East, Assam",Assam,Assam East,Block A,215227,District Hospital,Government,GEN-00066,23.124939,81.603583
Government Assam East Hospital 2,"Main Road, Assam East, Assam",Assam,Assam East,Block A,400090,Sub District Hospital,Government,GEN-00067,34.185947,85.786673
Government Assam East Hospital 3,"Main Road, Assam East, Assam",Assam,Assam East,Block A,693930,Community Health Centre,Government,GEN-00068,28.504004,94.138863
Government Assam East Hospital 4,"Main Road, Assam East, Assam",Assam,Assam East,Block A,253734,Primary Health Centre,Government,GEN-00069,17.469676,84.620816
Government Assam East Hospital 5,"Main Road, Assam East, Assam",Assam,Assam East,Block A,688776,Medical College Hospital,Government,GEN-00070,22.642931,92.891706
Government Assam West Hospital 1,"Main Road, Assam West, Assam",Assam,Assam West,Block B,763447,District Hospital,Government,GEN-00071,30.87852,90.110598
Government Assam West Hospital 2,"Main Road, Assam West, Assam",Assam,Assam West,Block C,737334,Sub District Hospital,Government,GEN-00072,19.903111,69.738949
Government Assam West Hospital 3,"Main Road, Assam West, Assam",Assam,Assam West,Block B,603096,Community Health Centre,Government,GEN-00073,30.605914,73.774956
Government Assam West Hospital 4,"Main Road, Assam West, Assam",Assam,Assam West,Block B,836029,Primary Health Centre,Government,GEN-00074,33.179336,83.62687
Government Assam West Hospital 5,"Main Road, Assam West, Assam",Assam,Assam West,Block C,312557,Medical College Hospital,Government,GEN-00075,12.052187,76.069157
Government Bihar Central Hospital 1,"Main Road, Bihar Central, Bihar",Bihar,Bihar Central,Block B,476523,District Hospital,Government,GEN-00076,16.542206,82.610696
Government Bihar Central Hospital 2,"Main Road, Bihar Central, Bihar",Bihar,Bihar Central,Block C,565778,Sub District Hospital,Government,GEN-00077,15.566536,72.699985
Government Bihar Central Hospital 3,"Main Road, Bihar Central, Bihar",Bihar,Bihar Central,Block C,272515,Community Health Centre,Government,GEN-00078,31.62324,84.659556
Government Bihar Central Hospital 4,"Main Road, Bihar Central, Bihar",Bihar,Bihar Central,Block C,815019,Primary Health Centre,Government,GEN-00079,12.753575,78.733098
Government Bihar Central Hospital 5,"Main Road, Bihar Central, Bihar",Bihar,Bihar Central,Block C,124757,Medical College Hospital,Government,GEN-00080,23.767026,93.356082
Government Bihar North Hospital 1,"Main Road, Bihar North, Bihar",Bihar,Bihar North,Block C,688666,District Hospital,Government,GEN-00081,23.398852,93.14459
Government Bihar North Hospital 2,"Main Road, Bihar North, Bihar",Bihar,Bihar North,Block C,154957,Sub District Hospital,Government,GEN-00082,26.806217,90.392127
Government Bihar North Hospital 3,"Main Road, Bihar North, Bihar",Bihar,Bihar North,Block B,762766,Community Health Centre,Government,GEN-00083,23.252133,80.341216
Government Bihar North Hospital 4,"Main Road, Bihar North, Bihar",Bihar,Bihar North,Block C,164434,Primary Health Centre,Government,GEN-00084,35.950422,87.239113
Government Bihar North Hospital 5,"Main Road, Bihar North, Bihar",Bihar,Bihar North,Block B,789266,Medical College Hospital,Government,GEN-00085,22.750141,70.036572
Government Bihar South Hospital 1,"Main Road, Bihar South, Bihar",Bihar,Bihar South,Block C,252213,District Hospital,Government,GEN-00086,20.835584,85.170304
Government Bihar South Hospital 2,"Main Road, Bihar South, Bihar",Bihar,Bihar South,Block A,229610,Sub District Hospital,Government,GEN-00087,10.29531,81.441123
Government Bihar South Hospital 3,"Main Road, Bihar South, Bihar",Bihar,Bihar South,Block B,680629,Community Health Centre,Government,GEN-00088,20.865084,85.929619
Government Bihar South Hospital 4,"Main Road, Bihar South, Bihar",Bihar,Bihar South,Block B,112763,Primary Health Centre,Government,GEN-00089,21.599797,74.980407
Government Bihar South Hospital 5,"Main Road, Bihar South, Bihar",Bihar,Bihar South,Block B,302275,Medical College Hospital,Government,GEN-00090,16.216783,68.47533
Government Bihar East Hospital 1,"Main Road, Bihar East, Bihar",Bihar,Bihar East,Block C,234707,District Hospital,Government,GEN-00091,35.02785,73.823614
Government Bihar East Hospital 2,"Main Road, Bihar East, Bihar",Bihar,Bihar East,Block B,684645,Sub District Hospital,Government,GEN-00092,10.182187,77.951077
Government Bihar East Hospital 3,"Main Road, Bihar East, Bihar",Bihar,Bihar East,Block B,338546,Community Health Centre,Government,GEN-00093,18.530347,96.383255
Government Bihar East Hospital 4,"Main Road, Bihar East, Bihar",Bihar,Bihar East,Block B,135280,Primary Health Centre,Government,GEN-00094,28.255919,74.296397
Government Bihar East Hospital 5,"Main Road, Bihar East, Bihar",Bihar,Bihar East,Block C,642668,Medical College Hospital,Government,GEN-00095,20.573052,95.887811
Government Bihar West Hospital 1,"Main Road, Bihar West, Bihar",Bihar,Bihar West,Block A,170253,District Hospital,Government,GEN-00096,37.091859,92.465037
Government Bihar West Hospital 2,"Main Road, Bihar West, Bihar",Bihar,Bihar West,Block B,644768,Sub District Hospital,Government,GEN-00097,34.685904,85.729338
Government Bihar West Hospital 3,"Main Road, Bihar West, Bihar",Bihar,Bihar West,Block B,467478,Community Health Centre,Government,GEN-00098,36.197246,73.062628
Government Bihar West Hospital 4,"Main Road, Bihar West, Bihar",Bihar,Bihar West,Block A,790306,Primary Health Centre,Government,GEN-00099,12.579411,87.145344
Government Bihar West Hospital 5,"Main Road, Bihar West, Bihar",Bihar,Bihar West,Block A,589597,Medical College Hospital,Government,GEN-00100,8.405747,73.370623
Government Chhattisgarh Central Hospital 1,"Main Road, Chhattisgarh Central, Chhattisgarh",Chhattisgarh,Chhattisgarh Central,Block A,561371,District Hospital,Government,GEN-00101,16.679386,94.771722
Government Chhattisgarh Central Hospital 2,"Main Road, Chhattisgarh Central, Chhattisgarh",Chhattisgarh,Chhattisgarh Central,Block A,437817,Sub District Hospital,Government,GEN-00102,14.856199,73.950073
Government Chhattisgarh Central Hospital 3,"Main Road, Chhattisgarh Central, Chhattisgarh",Chhattisgarh,Chhattisgarh Central,Block B,273940,Community Health Centre,Government,GEN-00103,34.840713,91.801173
Government Chhattisgarh Central Hospital 4,"Main Road, Chhattisgarh Central, Chhattisgarh",Chhattisgarh,Chhattisgarh Central,Block B,598132,Primary Health Centre,Government,GEN-00104,23.488875,93.565697
Government Chhattisgarh Central Hospital 5,"Main Road, Chhattisgarh Central, Chhattisgarh",Chhattisgarh,Chhattisgarh Central,Block A,656275,Medical College Hospital,Government,GEN-00105,30.520833,73.494311
Government Chhattisgarh North Hospital 1,"Main Road, Chhattisgarh North, Chhattisgarh",Chhattisgarh,Chhattisgarh North,Block B,579501,District Hospital,Government,GEN-00106,11.041301,85.515143
Government Chhattisgarh North Hospital 2,"Main Road, Chhattisgarh North, Chhattisgarh",Chhattisgarh,Chhattisgarh North,Block A,773714,Sub District Hospital,Government,GEN-00107,23.290345,88.384095
Government Chhattisgarh North Hospital 3,"Main Road, Chhattisgarh North, Chhattisgarh",Chhattisgarh,Chhattisgarh North,Block B,793444,Community Health Centre,Government,GEN-00108,29.504163,88.349179
Government Chhattisgarh North Hospital 4,"Main Road, Chhattisgarh North, Chhattisgarh",Chhattisgarh,Chhattisgarh North,Block B,493822,Primary Health Centre,Government,GEN-00109,8.805508,71.342204
Government Chhattisgarh North Hospital 5,"Main Road, Chhattisgarh North, Chhattisgarh",Chhattisgarh,Chhattisgarh North,Block B,598591,Medical College Hospital,Government,GEN-00110,24.050602,80.251683
Government Chhattisgarh South Hospital 1,"Main Road, Chhattisgarh South, Chhattisgarh",Chhattisgarh,Chhattisgarh South,Block A,837677,District Hospital,Government,GEN-00111,24.525935,86.515001
Government Chhattisgarh South Hospital 2,"Main Road, Chhattisgarh South, Chhattisgarh",Chhattisgarh,Chhattisgarh South,Block C,313670,Sub District Hospital,Government,GEN-00112,24.182495,79.888486
Government Chhattisgarh South Hospital 3,"Main Road, Chhattisgarh South, Chhattisgarh",Chhattisgarh,Chhattisgarh South,Block C,150775,Community Health Centre,Government,GEN-00113,25.479228,83.545829
Government Chhattisgarh South Hospital 4,"Main Road, Chhattisgarh South, Chhattisgarh",Chhattisgarh,Chhattisgarh South,Block A,200650,Primary Health Centre,Government,GEN-00114,34.392187,69.674833
Government Chhattisgarh South Hospital 5,"Main Road, Chhattisgarh South, Chhattisgarh",Chhattisgarh,Chhattisgarh South,Block A,138273,Medical College Hospital,Government,GEN-00115,21.570675,78.390385
Government Chhattisgarh East Hospital 1,"Main Road, Chhattisgarh East, Chhattisgarh",Chhattisgarh,Chhattisgarh East,Block C,719355,District Hospital,Government,GEN-00116,28.983177,90.879784
Government Chhattisgarh East Hospital 2,"Main Road, Chhattisgarh East, Chhattisgarh",Chhattisgarh,Chhattisgarh East,Block C,455049,Sub District Hospital,Government,GEN-00117,9.807622,92.149124
Government Chhattisgarh East Hospital 3,"Main Road, Chhattisgarh East, Chhattisgarh",Chhattisgarh,Chhattisgarh East,Block B,721930,Community Health Centre,Government,GEN-00118,8.096332,87.967281
Government Chhattisgarh East Hospital 4,"Main Road, Chhattisgarh East, Chhattisgarh",Chhattisgarh,Chhattisgarh East,Block C,669496,Primary Health Centre,Government,GEN-00119,36.705784,90.73688
Government Chhattisgarh East Hospital 5,"Main Road, Chhattisgarh East, Chhattisgarh",Chhattisgarh,Chhattisgarh East,Block A,396061,Medical College Hospital,Government,GEN-00120,8.379722,68.458272
Government Chhattisgarh West Hospital 1,"Main Road, Chhattisgarh West, Chhattisgarh",Chhattisgarh,Chhattisgarh West,Block C,170992,District Hospital,Government,GEN-00121,35.299177,93.319464
Government Chhattisgarh West Hospital 2,"Main Road, Chhattisgarh West, Chhattisgarh",Chhattisgarh,Chhattisgarh West,Block A,285553,Sub District Hospital,Government,GEN-00122,10.124754,76.530785
Government Chhattisgarh West Hospital 3,"Main Road, Chhattisgarh West, Chhattisgarh",Chhattisgarh,Chhattisgarh West,Block B,717696,Community Health Centre,Government,GEN-00123,15.658191,80.990779
Government Chhattisgarh West Hospital 4,"Main Road, Chhattisgarh West, Chhattisgarh",Chhattisgarh,Chhattisgarh West,Block B,222023,Primary Health Centre,Government,GEN-00124,25.821857,89.193278
Government Chhattisgarh West Hospital 5,"Main Road, Chhattisgarh West, Chhattisgarh",Chhattisgarh,Chhattisgarh West,Block B,217132,Medical College Hospital,Government,GEN-00125,28.510004,89.945099
Government Goa Central Hospital 1,"Main Road, Goa Central, Goa",Goa,Goa Central,Block B,556979,District Hospital,Government,GEN-00126,20.263813,73.901512
Government Goa Central Hospital 2,"Main Road, Goa Central, Goa",Goa,Goa Central,Block A,583384,Sub District Hospital,Government,GEN-00127,33.514707,89.055626
Government Goa Central Hospital 3,"Main Road, Goa Central, Goa",Goa,Goa Central,Block B,136407,Community Health Centre,Government,GEN-00128,21.973382,87.835393
Government Goa Central Hospital 4,"Main Road, Goa Central, Goa",Goa,Goa Central,Block C,820258,Primary Health Centre,Government,GEN-00129,34.646137,89.130813
Government Goa Central Hospital 5,"Main Road, Goa Central, Goa",Goa,Goa Central,Block C,184667,Medical College Hospital,Government,GEN-00130,17.558786,81.871345
Government Goa North Hospital 1,"Main Road, Goa North, Goa",Goa,Goa North,Block C,426568,District Hospital,Government,GEN-00131,14.461228,91.82466
Government Goa North Hospital 2,"Main Road, Goa North, Goa",Goa,Goa North,Block A,293995,Sub District Hospital,Government,GEN-00132,25.765919,85.991166
Government Goa North Hospital 3,"Main Road, Goa North, Goa",Goa,Goa North,Block A,501759,Community Health Centre,Government,GEN-00133,31.608726,81.027134
Government Goa North Hospital 4,"Main Road, Goa North, Goa",Goa,Goa North,Block C,750558,Primary Health Centre,Government,GEN-00134,37.113145,72.549983
Government Goa North Hospital 5,"Main Road, Goa North, Goa",Goa,Goa North,Block C,259145,Medical College Hospital,Government,GEN-00135,10.944025,77.05459
Government Goa South Hospital 1,"Main Road, Goa South, Goa",Goa,Goa South,Block B,257818,District Hospital,Government,GEN-00136,11.375024,91.993109
Government Goa South Hospital 2,"Main Road, Goa South, Goa",Goa,Goa South,Block A,167355,Sub District Hospital,Government,GEN-00137,11.79776,74.972066
Government Goa South Hospital 3,"Main Road, Goa South, Goa",Goa,Goa South,Block C,202294,Community Health Centre,Government,GEN-00138,13.683941,73.00018
Government Goa South Hospital 4,"Main Road, Goa South, Goa",Goa,Goa South,Block C,216760,Primary Health Centre,Government,GEN-00139,24.250289,86.777521
Government Goa South Hospital 5,"Main Road, Goa South, Goa",Goa,Goa South,Block A,715209,Medical College Hospital,Government,GEN-00140,28.155967,89.840139
Government Goa East Hospital 1,"Main Road, Goa East, Goa",Goa,Goa East,Block C,664832,District Hospital,Government,GEN-00141,32.444778,69.60565
Government Goa East Hospital 2,"Main Road, Goa East, Goa",Goa,Goa East,Block C,369934,Sub District Hospital,Government,GEN-00142,9.538813,92.930024
Government Goa East Hospital 3,"Main Road, Goa East, Goa",Goa,Goa East,Block B,403260,Community Health Centre,Government,GEN-00143,15.055513,74.060587
Government Goa East Hospital 4,"Main Road, Goa East, Goa",Goa,Goa East,Block A,578297,Primary Health Centre,Government,GEN-00144,9.176972,77.120886
Government Goa East Hospital 5,"Main Road, Goa East, Goa",Goa,Goa East,Block B,377787,Medical College Hospital,Government,GEN-00145,13.193719,92.954853
Government Goa West Hospital 1,"Main Road, Goa West, Goa",Goa,Goa West,Block C,640072,District Hospital,Government,GEN-00146,21.71276,81.941237
Government Goa West Hospital 2,"Main Road, Goa West, Goa",Goa,Goa West,Block A,498330,Sub District Hospital,Government,GEN-00147,12.340875,69.522922
Government Goa West Hospital 3,"Main Road, Goa West, Goa",Goa,Goa West,Block C,563492,Community Health Centre,Government,GEN-00148,33.050009,85.144666
Government Goa West Hospital 4,"Main Road, Goa West, Goa",Goa,Goa West,Block B,221429,Primary Health Centre,Government,GEN-00149,8.795309,74.391889
Government Goa West Hospital 5,"Main Road, Goa West, Goa",Goa,Goa West,Block C,849066,Medical College Hospital,Government,GEN-00150,14.629132,70.703084
Government Gujarat Central Hospital 1,"Main Road, Gujarat Central, Gujarat",Gujarat,Gujarat Central,Block A,516145,District Hospital,Government,GEN-00151,10.296381,89.727897
Government Gujarat Central Hospital 2,"Main Road, Gujarat Central, Gujarat",Gujarat,Gujarat Central,Block B,339687,Sub District Hospital,Government,GEN-00152,30.887733,89.68263
Government Gujarat Central Hospital 3,"Main Road, Gujarat Central, Gujarat",Gujarat,Gujarat Central,Block A,826002,Community Health Centre,Government,GEN-00153,22.755947,71.108637
Government Gujarat Central Hospital 4,"Main Road, Gujarat Central, Gujarat",Gujarat,Gujarat Central,Block A,353010,Primary Health Centre,Government,GEN-00154,25.078171,84.011045
Government Gujarat Central Hospital 5,"Main Road, Gujarat Central, Gujarat",Gujarat,Gujarat Central,Block C,497392,Medical College Hospital,Government,GEN-00155,24.157662,82.160339
Government Gujarat North Hospital 1,"Main Road, Gujarat North, Gujarat",Gujarat,Gujarat North,Block A,430237,District Hospital,Government,GEN-00156,15.966538,77.940566
Government Gujarat North Hospital 2,"Main Road, Gujarat North, Gujarat",Gujarat,Gujarat North,Block B,467349,Sub District Hospital,Government,GEN-00157,32.72778,79.113943
Government Gujarat North Hospital 3,"Main Road, Gujarat North, Gujarat",Gujarat,Gujarat North,Block A,350024,Community Health Centre,Government,GEN-00158,33.425635,83.514202
Government Gujarat North Hospital 4,"Main Road, Gujarat North, Gujarat",Gujarat,Gujarat North,Block B,305529,Primary Health Centre,Government,GEN-00159,20.366034,90.547466
Government Gujarat North Hospital 5,"Main Road, Gujarat North, Gujarat",Gujarat,Gujarat North,Block A,741328,Medical College Hospital,Government,GEN-00160,12.36206,92.491374
Government Gujarat South Hospital 1,"Main Road, Gujarat South, Gujarat",Gujarat,Gujarat South,Block A,359991,District Hospital,Government,GEN-00161,26.314446,83.870507
Government Gujarat South Hospital 2,"Main Road, Gujarat South, Gujarat",Gujarat,Gujarat South,Block A,367540,Sub District Hospital,Government,GEN-00162,32.087471,75.372731
Government Gujarat South Hospital 3,"Main Road, Gujarat South, Gujarat",Gujarat,Gujarat South,Block A,505274,Community Health Centre,Government,GEN-00163,22.934374,69.889048
Government Gujarat South Hospital 4,"Main Road, Gujarat South, Gujarat",Gujarat,Gujarat South,Block C,507391,Primary Health Centre,Government,GEN-00164,28.870097,84.245135
Government Gujarat South Hospital 5,"Main Road, Gujarat South, Gujarat",Gujarat,Gujarat South,Block B,546375,Medical College Hospital,Government,GEN-00165,25.507244,95.518387
Government Gujarat East Hospital 1,"Main Road, Gujarat East, Gujarat",Gujarat,Gujarat East,Block C,285156,District Hospital,Government,GEN-00166,24.891659,74.724777
